CryoSleep,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Travelling_Solo,Group_Size,Cabin_Deck,Cabin_Side,Cabin_Region1,Cabin_Region2,Cabin_Region3,Cabin_Region4,Cabin_Region5,Cabin_Region6,Age Group,Total Expenditure,No Spending,Expenditure Category,HomePlanet_Earth,HomePlanet_Europa,HomePlanet_Mars,Destination_55 Cancri e,Destination_PSO J318.5-22,Destination_TRAPPIST-1e
0,27.0,0,7.315218389752975,0.6931471805599453,0.0,0.0,0.0,1,1.0,5,1,0,1,0,0,0,0,3,7.315883504509785,0,0,False,False,True,False,False,True
0,25.0,1,0.0,8.863615758890619,0.0,3.828641396489095,5.645446897643238,0,2.0,0,1,1,0,0,0,0,0,2,8.908829791587868,0,0,False,True,False,False,True,False
0,19.0,0,0.0,0.0,0.0,0.0,0.0,0,2.0,6,0,0,0,0,1,0,0,2,0.0,1,3,True,False,False,False,False,True
1,35.0,0,0.0,0.0,0.0,0.0,0.0,1,1.0,3,1,1,0,0,0,0,0,4,0.0,1,3,False,True,False,False,False,True
0,54.0,0,0.0,7.507690077819904,7.771067086065406,6.856461984594587,3.8501476017100584,0,3.0,0,1,1,0,0,0,0,0,5,8.553910774351401,0,0,False,True,False,True,False,False
0,33.0,0,0.0,8.38320455141292,0.0,8.319717386850606,0.0,1,1.0,2,1,1,0,0,0,0,0,4,9.04499391938819,0,0,False,True,False,False,False,True
1,24.0,0,0.0,0.0,0.0,0.0,0.0,1,1.0,6,1,0,0,0,0,1,0,2,0.0,1,3,True,False,False,False,True,False
1,38.0,0,0.0,0.0,0.0,0.0,0.0,1,1.0,1,0,1,0,0,0,0,0,4,0.0,1,3,False,True,False,True,False,False
0,18.0,0,7.05444965813294,3.367295829986474,3.9318256327243257,0.0,0.0,1,1.0,5,0,0,0,0,0,0,1,1,7.119635638017636,0,2,True,False,False,False,False,True
1,16.0,0,0.0,0.0,0.0,0.0,0.0,1,1.0,6,0,0,1,0,0,0,0,1,0.0,1,3,True,False,False,False,False,True
0,61.0,0,0.0,0.6931471805599453,5.6240175061873385,6.018593214496234,4.007333185232471,1,1.0,5,0,0,0,1,0,0,0,5,6.60934924316738,0,2,True,False,False,False,True,False
0,30.0,0,0.6931471805599453,6.682108597449809,0.0,2.3978952727983707,0.0,1,1.0,6,1,0,0,1,0,0,0,3,6.695798917058491,0,2,True,False,False,False,False,True
0,42.0,0,6.907755278982137,0.0,3.912023005428146,0.0,2.4849066497880004,1,1.0,3,1,1,0,0,0,0,0,4,6.966024187106113,0,2,False,False,True,False,False,True
0,44.0,0,0.0,0.0,6.61338421837956,4.143134726391533,1.3862943611198906,1,1.0,6,1,0,1,0,0,0,0,4,6.697034247666484,0,2,True,False,False,False,False,True
1,37.0,0,0.0,0.0,0.0,0.0,0.0,0,2.0,1,1,1,0,0,0,0,0,4,0.0,1,3,False,True,False,False,False,True
1,19.0,0,0.0,0.0,0.0,0.0,0.0,0,2.0,1,1,1,0,0,0,0,0,2,0.0,1,3,False,True,False,True,False,False
0,18.0,0,2.833213344056216,1.9459101490553132,6.601230118728877,0.0,0.0,1,1.0,5,1,0,0,1,0,0,0,1,6.630683385642372,0,2,True,False,False,False,True,False
0,43.0,0,6.961296045910167,4.700480365792417,6.3578422665081,6.470799503782602,0.0,0,2.0,3,0,1,0,0,0,0,0,4,7.776954403322442,0,0,False,False,True,False,False,True
0,24.0,0,0.0,7.874358824729881,0.0,5.14166355650266,0.0,0,2.0,1,1,1,0,0,0,0,0,2,7.937017489515454,0,0,False,True,False,False,False,True
1,46.0,0,0.0,0.0,0.0,0.0,0.0,0,2.0,5,1,0,0,1,0,0,0,4,0.0,1,3,False,False,True,False,False,True
0,34.0,1,0.0,7.069023426578259,0.0,4.875197323201151,7.040536390215956,1,1.0,0,0,1,0,0,0,0,0,4,7.802209316247118,0,0,False,True,False,True,False,False
0,48.0,0,0.0,0.0,0.0,7.955775781534187,7.2991214627108,0,3.0,2,0,1,0,0,0,0,0,4,8.373322820996535,0,0,False,True,False,False,False,True
0,25.0,1,7.274479558773871,0.0,0.0,0.0,2.6390573296152584,0,2.0,5,0,0,0,0,0,1,0,2,7.283448228756631,0,0,False,False,True,False,False,True
0,23.0,0,0.0,0.0,6.19644412779452,0.0,5.768320995793772,0,8.0,6,1,1,0,0,0,0,0,2,6.697034247666484,0,2,True,False,False,False,False,True
0,20.0,0,5.3612921657094255,0.0,6.899723107284872,0.0,2.6390573296152584,0,2.0,5,1,0,1,0,0,0,0,2,7.104144092987527,0,2,False,False,True,False,False,True
1,21.0,0,0.0,0.0,0.0,0.0,0.0,1,1.0,6,0,0,0,0,0,1,0,2,0.0,1,3,True,False,False,True,False,False
0,26.0,0,0.0,0.0,2.1972245773362196,3.091042453358316,8.703506769479729,0,2.0,1,1,1,0,0,0,0,0,3,8.708309295891688,0,0,False,True,False,False,False,True
1,36.0,0,0.0,0.0,0.0,0.0,0.0,1,1.0,1,0,1,0,0,0,0,0,4,0.0,1,3,False,True,False,True,False,False
0,27.0,0,7.104144092987527,0.0,3.4339872044851463,3.784189633918261,0.0,1,1.0,5,1,0,0,0,0,1,0,4,7.162397497355718,0,2,False,False,True,False,False,True
1,14.0,0,0.0,0.0,0.0,0.0,0.0,0,4.0,2,0,1,0,0,0,0,0,1,0.0,1,3,False,True,False,False,False,True
0,27.0,0,6.091309882077698,0.0,5.986452005284438,6.156978985585555,0.0,0,3.0,5,1,0,0,0,1,0,0,3,7.177782416195197,0,2,False,False,True,False,False,True
0,37.0,0,0.0,8.43750042250699,5.8289456176102075,7.605392364814935,5.170483995038151,1,1.0,2,1,1,0,0,0,0,0,4,8.87332798950246,0,0,False,True,False,False,False,True
0,16.0,0,1.6094379124341003,7.418780882750794,0.0,3.58351893845611,3.713572066704308,1,1.0,6,1,0,0,0,1,0,0,1,7.465082736399547,0,0,True,False,False,False,False,True
0,23.0,0,7.88193748927207,0.0,6.996681488176539,0.0,0.0,0,3.0,3,0,1,0,0,0,0,0,2,8.227108234348146,0,0,False,False,True,False,False,True
1,38.0,0,0.0,0.0,0.0,0.0,0.0,1,1.0,6,0,1,0,0,0,0,0,4,0.0,1,3,True,False,False,True,False,False
1,44.0,0,0.0,0.0,0.0,0.0,0.0,1,1.0,1,1,1,0,0,0,0,0,4,0.0,1,3,False,True,False,True,False,False
1,26.0,0,0.0,0.0,0.0,0.0,0.0,1,1.0,2,1,1,0,0,0,0,0,3,0.0,1,3,False,True,False,False,False,True
0,36.0,0,0.0,5.641907070938114,0.0,0.0,6.450470422144176,0,7.0,6,1,0,0,0,0,1,0,4,6.81783057145415,0,2,True,False,False,False,False,True
0,26.0,0,0.0,7.346010209913293,0.0,0.0,6.642486801367256,1,1.0,3,1,1,0,0,0,0,0,3,7.7475968386928855,0,0,False,True,False,False,False,True
1,27.0,0,0.0,0.0,0.0,0.0,0.0,1,1.0,6,1,1,0,0,0,0,0,4,0.0,1,3,True,False,False,True,False,False
1,37.0,0,0.0,0.0,0.0,0.0,0.0,1,1.0,6,0,0,0,1,0,0,0,4,0.0,1,3,True,False,False,False,False,True
0,21.0,0,0.0,3.044522437723423,7.340186835320115,4.394449154672439,6.240275845170769,0,3.0,5,1,0,0,0,0,1,0,2,7.674617497364363,0,0,True,False,False,False,False,True
1,27.0,0,0.0,0.0,0.0,0.0,0.0,0,2.0,5,0,0,0,1,0,0,0,3,0.0,1,3,True,False,False,False,False,True
0,22.0,0,4.844187086458591,1.3862943611198906,0.0,7.174724309836376,0.0,1,1.0,6,0,0,0,1,0,0,0,2,7.268920128193722,0,2,True,False,False,True,False,False
1,1.0,0,0.0,0.0,0.0,0.0,0.0,0,3.0,5,1,0,0,1,0,0,0,0,0.0,1,3,False,False,True,False,False,True
0,57.0,0,0.0,7.266827347520591,0.0,3.4339872044851463,5.823045895483019,1,1.0,6,1,0,1,0,0,0,0,5,7.4949862339505335,0,0,True,False,False,False,True,False
1,15.0,0,0.0,0.0,0.0,0.0,0.0,1,1.0,6,0,0,0,1,0,0,0,1,0.0,1,3,True,False,False,True,False,False
1,3.0,0,0.0,0.0,0.0,0.0,0.0,0,5.0,6,1,0,1,0,0,0,0,0,0.0,1,3,True,False,False,True,False,False
0,49.0,0,0.0,8.229777750081887,0.0,1.0986122886681098,5.834810737062605,0,2.0,4,0,1,0,0,0,0,0,4,8.317277766221235,0,0,False,True,False,False,False,True
0,29.0,0,2.995732273553991,8.497194544909547,1.9459101490553132,8.752265313595721,7.6290038896529575,0,2.0,1,1,1,0,0,0,0,0,3,9.495970340301833,0,0,False,True,False,False,False,True
0,27.0,0,0.0,9.824552564447986,0.0,1.0986122886681098,8.262558973010657,0,2.0,2,0,1,0,0,0,0,0,3,10.014984203549803,0,0,False,True,False,False,False,True
1,16.0,0,0.0,0.0,0.0,0.0,0.0,0,2.0,1,1,1,0,0,0,0,0,1,0.0,1,3,False,True,False,False,False,True
0,30.0,0,0.0,8.98632143762602,0.0,6.230481447578482,3.258096538021482,0,2.0,1,1,1,0,0,0,0,0,3,9.050758302151717,0,0,False,True,False,True,False,False
0,31.0,0,0.0,0.0,0.0,0.0,0.0,1,1.0,6,0,0,0,1,0,0,0,3,0.0,1,3,True,False,False,False,False,True
0,39.0,0,0.0,9.22562299550734,0.6931471805599453,4.3694478524670215,8.529911963824013,0,2.0,2,1,1,0,0,0,0,0,4,9.635346635291183,0,0,False,True,False,True,False,False
0,29.0,0,0.0,0.0,0.0,0.0,6.470799503782602,1,1.0,5,1,1,0,0,0,0,0,3,6.470799503782602,0,1,True,False,False,False,False,True
0,23.0,0,0.0,0.0,2.302585092994046,4.248495242049359,7.05444965813294,0,3.0,5,0,0,0,0,0,0,1,2,7.119635638017636,0,2,True,False,False,False,False,True
0,49.0,0,0.0,8.95712413640568,1.0986122886681098,0.0,4.59511985013459,1,1.0,2,1,1,0,0,0,0,0,4,8.969923491991516,0,0,False,True,False,True,False,False
0,27.0,0,0.0,0.0,0.0,6.39024066706535,0.0,1,1.0,5,1,0,0,0,0,0,1,4,6.39024066706535,0,1,True,False,False,False,False,True
0,19.0,0,0.0,7.639161171659173,0.0,0.0,0.0,1,1.0,5,0,0,0,0,1,0,0,2,7.639161171659173,0,0,True,False,False,False,False,True
0,35.0,1,5.5134287461649825,6.07993319509559,6.131226489483141,0.6931471805599453,7.59337419312129,1,1.0,0,0,1,0,0,0,0,0,4,8.048149101665201,0,0,False,True,False,False,False,True
1,34.0,0,0.0,0.0,0.0,0.0,0.0,1,1.0,4,1,0,1,0,0,0,0,4,0.0,1,3,False,False,True,False,False,True
1,13.0,0,0.0,0.0,0.0,0.0,0.0,0,2.0,1,1,1,0,0,0,0,0,1,0.0,1,3,False,True,False,False,False,True
0,22.0,0,0.0,0.0,0.0,0.0,7.204892510204673,1,1.0,5,0,0,1,0,0,0,0,2,7.204892510204673,0,2,True,False,False,False,False,True
0,26.0,0,0.0,2.3978952727983707,0.0,6.555356891810665,0.6931471805599453,1,1.0,5,0,0,1,0,0,0,0,3,6.570882962339584,0,1,True,False,False,False,False,True
1,32.0,0,0.0,0.0,0.0,0.0,0.0,0,5.0,4,0,0,1,0,0,0,0,3,0.0,1,3,False,True,False,False,False,True
0,24.0,0,0.0,0.0,5.703782474656201,6.703188113240863,0.0,1,1.0,5,0,0,0,0,0,0,1,2,7.01571242048723,0,2,False,False,True,False,False,True
1,35.0,0,0.0,0.0,0.0,0.0,0.0,0,5.0,3,0,1,0,0,0,0,0,4,0.0,1,3,False,True,False,True,False,False
0,31.0,1,9.01724094201035,5.638354669333745,0.0,8.0774471493312,7.734558844354756,1,1.0,2,0,1,0,0,0,0,0,3,9.548881894718772,0,0,False,True,False,True,False,False
0,31.0,0,4.852030263919617,4.343805421853684,6.884486652042782,4.77912349311153,0.0,1,1.0,4,1,0,1,0,0,0,0,3,7.168579897264035,0,2,False,False,True,False,False,True
0,17.0,0,2.6390573296152584,0.0,6.338594078203183,5.908082938168931,0.6931471805599453,1,1.0,4,0,0,1,0,0,0,0,1,6.853299093186078,0,2,False,False,True,False,False,True
0,53.0,0,1.0986122886681098,6.678342114654332,6.054439346269371,0.0,5.986452005284438,1,1.0,4,0,0,1,0,0,0,0,5,7.389563953677635,0,0,True,False,False,False,False,True
0,24.0,0,0.0,6.697034247666484,0.0,8.502891406705377,4.969813299576001,0,3.0,1,1,0,1,0,0,0,0,2,8.679482094459956,0,0,False,True,False,False,False,True
1,19.0,0,0.0,0.0,0.0,0.0,0.0,1,1.0,6,0,1,0,0,0,0,0,2,0.0,1,3,True,False,False,False,False,True
1,13.0,0,0.0,0.0,0.0,0.0,0.0,0,5.0,5,1,0,1,0,0,0,0,1,0.0,1,3,True,False,False,True,False,False
0,47.0,0,1.6094379124341003,6.79346613258001,0.0,7.993957547573565,8.204398418149381,0,2.0,1,0,1,0,0,0,0,0,4,8.924523226133914,0,0,False,True,False,False,False,True
1,32.0,0,0.0,0.0,0.0,0.0,0.0,1,1.0,4,0,1,0,0,0,0,0,3,0.0,1,3,False,False,True,False,False,True
1,16.0,0,0.0,0.0,0.0,0.0,0.0,0,2.0,5,1,0,1,0,0,0,0,1,0.0,1,3,False,False,True,False,False,True
0,19.0,0,5.043425116919247,5.14166355650266,7.637716432664798,0.0,0.0,0,7.0,3,0,1,0,0,0,0,0,2,7.782807262839695,0,0,False,False,True,False,False,True
1,44.0,0,0.0,0.0,0.0,0.0,0.0,0,2.0,1,1,0,1,0,0,0,0,4,0.0,1,3,False,True,False,True,False,False
1,21.0,0,0.0,0.0,0.0,0.0,0.0,1,1.0,6,1,0,0,1,0,0,0,2,0.0,1,3,True,False,False,False,False,True
0,41.0,0,6.025865973825314,0.0,0.0,2.0794415416798357,5.8522024797744745,1,1.0,6,1,0,0,0,0,1,0,4,6.643789733147672,0,2,True,False,False,False,True,False
0,18.0,0,0.0,2.8903717578961645,1.791759469228055,0.0,6.569481420414296,1,1.0,5,1,0,0,0,0,0,1,1,6.5998704992128365,0,2,True,False,False,False,False,True
0,4.0,0,0.0,0.0,0.0,0.0,0.0,0,6.0,2,1,0,1,0,0,0,0,0,0.0,1,3,False,True,False,False,False,True
0,48.0,0,0.0,0.0,0.0,0.0,0.0,0,2.0,2,0,1,0,0,0,0,0,4,0.0,1,3,False,True,False,False,False,True
0,51.0,0,0.0,0.0,1.6094379124341003,0.0,0.0,0,2.0,6,0,1,0,0,0,0,0,5,1.6094379124341003,0,1,True,False,False,False,False,True
1,18.0,0,0.0,0.0,0.0,0.0,0.0,1,1.0,5,1,0,0,0,0,1,0,1,0.0,1,3,False,False,True,False,False,True
0,55.0,0,5.351858133476067,5.225746673713202,5.241747015059643,4.0943445622221,4.30406509320417,1,1.0,5,1,1,0,0,0,0,0,5,6.573680166960646,0,1,True,False,False,False,False,True
1,43.0,0,0.0,0.0,0.0,0.0,0.0,1,1.0,6,0,0,1,0,0,0,0,4,0.0,1,3,True,False,False,False,False,True
0,17.0,0,0.0,6.698268054115413,4.204692619390966,0.0,0.0,0,7.0,5,0,0,0,0,0,0,1,1,6.776506992372183,0,2,True,False,False,False,False,True
0,27.0,0,0.0,4.219507705176107,6.495265555937008,0.0,0.0,0,2.0,5,0,0,0,0,0,1,0,4,6.591673732008658,0,2,True,False,False,False,True,False
1,18.0,0,0.0,0.0,0.0,0.0,0.0,0,8.0,6,0,0,0,0,0,1,0,1,0.0,1,3,True,False,False,True,False,False
0,38.0,0,7.325148957955575,0.0,0.0,3.332204510175204,0.0,1,1.0,5,0,1,0,0,0,0,0,4,7.3427791893318455,0,0,True,False,False,False,False,True
0,21.0,0,0.0,1.791759469228055,1.3862943611198906,0.0,0.0,0,2.0,6,1,1,0,0,0,0,0,2,2.1972245773362196,0,1,True,False,False,False,False,True
1,21.0,0,0.0,0.0,0.0,0.0,0.0,1,1.0,6,0,0,1,0,0,0,0,2,0.0,1,3,True,False,False,False,False,True
0,42.0,0,2.9444389791664403,1.791759469228055,6.154858094016418,5.877735781779639,4.060443010546419,0,4.0,6,0,0,0,0,0,1,0,4,6.810142450115136,0,2,True,False,False,False,False,True
1,26.0,0,0.0,0.0,0.0,0.0,0.0,1,1.0,4,0,1,0,0,0,0,0,3,0.0,1,3,False,False,True,False,False,True
1,41.0,0,0.0,0.0,0.0,0.0,0.0,0,2.0,1,1,0,1,0,0,0,0,4,0.0,1,3,False,True,False,False,False,True
0,22.0,0,0.0,4.836281906951478,0.0,6.498282149476434,0.0,0,3.0,4,1,0,1,0,0,0,0,2,6.670766320845874,0,2,True,False,False,False,False,True
0,37.0,0,3.295836866004329,7.972121128921655,2.302585092994046,0.0,3.713572066704308,0,2.0,3,0,1,0,0,0,0,0,4,7.9976631270201,0,0,False,True,False,False,False,True
1,20.0,0,0.0,0.0,0.0,0.0,0.0,0,7.0,5,0,0,0,1,0,0,0,2,0.0,1,3,False,False,True,False,False,True
1,48.0,0,0.0,0.0,0.0,0.0,0.0,1,1.0,6,1,0,1,0,0,0,0,4,0.0,1,3,True,False,False,False,True,False
1,52.0,0,0.0,0.0,0.0,0.0,0.0,0,4.0,6,0,0,1,0,0,0,0,5,0.0,1,3,True,False,False,False,False,True
1,53.0,0,0.0,0.0,0.0,0.0,0.0,0,7.0,6,1,1,0,0,0,0,0,5,0.0,1,3,True,False,False,False,True,False
0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,4.0,6,0,1,0,0,0,0,0,0,0.0,1,3,True,False,False,True,False,False
1,12.0,0,0.0,0.0,0.0,0.0,0.0,1,1.0,6,0,0,0,0,1,0,0,0,0.0,1,3,True,False,False,False,False,True
0,21.0,0,3.4011973816621555,3.332204510175204,3.871201010907891,6.543911845564792,2.4849066497880004,1,1.0,6,1,0,0,1,0,0,0,2,6.695798917058491,0,2,True,False,False,False,False,True
0,60.0,0,6.56244409369372,3.2188758248682006,0.0,0.0,5.14166355650266,0,2.0,5,0,0,0,0,0,1,0,5,6.804614520062624,0,2,True,False,False,False,False,True
0,24.0,0,1.0986122886681098,0.0,0.0,3.970291913552122,6.459904454377535,1,1.0,5,0,0,0,0,0,1,0,2,6.541029999189903,0,1,True,False,False,False,False,True
1,3.0,0,0.0,0.0,0.0,0.0,0.0,0,2.0,6,1,0,0,1,0,0,0,0,0.0,1,3,True,False,False,False,False,True
1,29.0,0,0.0,0.0,0.0,0.0,0.0,1,1.0,4,0,1,0,0,0,0,0,3,0.0,1,3,False,False,True,False,False,True
1,4.0,0,0.0,0.0,0.0,0.0,0.0,0,4.0,6,1,0,1,0,0,0,0,0,0.0,1,3,True,False,False,False,False,True
0,23.0,0,0.0,0.0,5.332718793265369,6.525029657843462,3.4657359027997265,1,1.0,5,0,0,0,0,1,0,0,2,6.823286122355687,0,2,True,False,False,False,False,True
1,36.0,0,0.0,0.0,0.0,0.0,0.0,1,1.0,5,0,0,0,0,0,1,0,4,0.0,1,3,False,False,True,False,False,True
0,13.0,0,6.361302477572996,4.356708826689592,0.0,5.726847747587197,1.791759469228055,1,1.0,5,1,0,1,0,0,0,0,1,6.874198495453294,0,2,True,False,False,False,False,True
0,22.0,0,6.363028103540465,0.0,5.5909869805108565,0.0,4.6913478822291435,1,1.0,4,0,1,0,0,0,0,0,2,6.86171134048073,0,2,False,False,True,False,False,True
0,3.0,0,0.0,0.0,0.0,0.0,0.0,0,4.0,5,0,0,1,0,0,0,0,0,0.0,1,3,False,False,True,False,False,True
1,5.0,0,0.0,0.0,0.0,0.0,0.0,0,3.0,5,0,0,0,0,0,0,1,0,0.0,1,3,False,False,True,False,False,True
0,65.0,0,7.259116128097101,0.0,4.442651256490317,0.0,0.0,1,1.0,5,0,0,0,0,1,0,0,5,7.316548177182976,0,0,False,False,True,False,False,True
0,20.0,0,0.0,0.0,1.3862943611198906,5.703782474656201,4.532599493153256,1,1.0,6,0,1,0,0,0,0,0,2,5.978885764901122,0,1,True,False,False,False,False,True
